sRGBA,r,g,b,a
1,139,50,50,255
2,17,89,89,255
3,149,34,68,255
4,79,72,133,255
5,158,5,81,255
6,128,22,169,255
7,158,5,81,255
8,158,5,81,255
9,158,5,81,255
10,158,5,81,255
11,158,5,81,255
12,158,5,81,255
13,158,5,81,255
14,158,5,81,255
15,158,5,81,255
16,158,5,81,255
17,158,5,81,255
18,158,5,81,255
18,158,5,81,255
19,158,5,81,255
20,158,5,81,255
21,158,5,81,255
22,158,5,81,255
23,158,5,81,255
24,158,5,81,255
25,158,5,81,255
26,158,5,81,255
27,158,5,81,255
28,158,5,81,255
29,158,5,81,255
30,158,5,81,255
31,158,5,81,255
